-649978.7753;-981816.175
-649990.1136;-982147.3695
-650001.9853;-982441.4241
-649947.5974;-982741.4533
-650023.5363;-983096.0958
-650207.9001;-983539.5794
-650234.4421;-983651.2059
-650554.0522;-983578.9546
-650952.9657;-983652.8749
-651051.7361;-983665.0236
-651148.4214;-983676.916
-651487.4135;-983937.5399
-651794.0663;-984494.6578
-651800.7711;-984737.8669
-651969.9459;-985282.9799
-651979.2375;-985794.0855
-651887.1326;-986027.9329
-652461.966;-986644.5251
-652767.0669;-987662.4966
-652670.3167;-987899.2023
-652196.6978;-988100.5116
-651627.0504;-988506.2227
-651805.9647;-988804.9195
-651962.8806;-989493.0101
-651908.4284;-990062.4924
-651829.4625;-990330.0495
-651665.4276;-990512.7043
-651564.5245;-990836.4167
-651350.0496;-991512.5001
-651250.1352;-992462.0557
