-651180.321852922;-991992.540122461
-651207.27281487;-991730.439581528
-651291.897382524;-991217.58235788
-651709.52099381;-990235.879188728
-651794.629790992;-990042.912585251
-651828.204377308;-989517.862311818
-651701.534087814;-988908.181184303
-651459.548193667;-988485.045249317
-652513.421819326;-987815.469311751
-652615.788256671;-987603.45710339
-652329.037935462;-986690.843866702
-651832.808312256;-986219.870140146
-651887.132649146;-986027.932939153
-652095.432547513;-985774.810464267
-652094.097729433;-985302.95733637
-651944.758582778;-984750.177980978
-651979.194933515;-984677.001172222
-651993.543354779;-984573.692294635
-651973.967419896;-984424.721253227
-651729.455778923;-984156.225145541
-651537.945705745;-983754.691994403
-651204.867383279;-983505.299291808
-650559.999026202;-983463.405666582
-650207.900069937;-983539.579354975
-650094.925635621;-983480.642526612
-649887.834826786;-982787.588878233
-649865.428253349;-982123.968981374
-649765.39931925;-981688.896517761
-649790.408997498;-981617.343528122
-650015.006458867;-981216.709161475
